iter	Passed	Remaining
0	1359	406485
1	2623	390958
2	4027	398718
3	5597	414224
4	7245	427510
5	8756	429077
6	10401	435363
7	12009	438364
8	13590	439421
9	15193	440619
10	16582	435659
11	18015	432374
12	19878	438845
13	21274	434598
14	22902	435143
15	25372	450365
16	27280	454141
17	29079	455581
18	31092	459838
19	33137	463922
20	34963	464515
21	37416	472814
22	39380	474282
23	41760	480247
24	44079	484878
25	46378	488758
26	48289	488257
27	50737	492879
28	52880	494156
29	54827	493448
30	57806	501610
31	60617	507671
32	63454	513408
33	66062	516838
34	68674	519967
35	71189	522056
36	74131	526935
37	77129	531790
38	80357	537773
39	83616	543504
40	87651	553698
41	90091	553419
42	92656	553785
43	95691	556751
44	99265	562502
45	103289	570336
46	107703	579766
47	112685	591598
48	117802	603439
49	121266	606330
50	125110	610834
51	128643	613532
52	132193	616070
53	135730	618327
54	139732	622443
55	143267	624235
56	146808	625869
57	150392	627500
58	154231	629996
59	157888	631554
60	164197	643330
61	171387	657905
62	178417	671189
63	186426	687447
64	194447	703002
65	202481	717890
66	211499	735511
67	219026	747267
68	227489	761596
69	241067	792080
70	252583	814672
71	263977	835928
72	275732	857414
73	290815	888166
74	302465	907395
75	304362	897069
76	306220	886846
77	312435	889239
78	314324	879312
79	316196	869539
80	322451	871813
81	324431	862513
82	326355	853243
83	332616	855300
84	334671	846522
85	336560	837488
86	342771	839198
87	344663	830325
88	346640	821810
89	352823	823253
90	355541	816574
91	361746	817862
92	365395	813298
93	369685	810162
94	375242	809733
95	377987	803223
96	385031	805786
97	387821	799387
98	394888	801743
99	397621	795243
100	404681	797343
101	407500	791030
102	414456	792698
103	417284	786421
104	424326	788034
105	427937	783205
106	435768	786012
107	442097	785950
108	448614	786104
109	457507	790239
110	465707	792960
111	470238	789328
112	478295	791515
113	486515	793787
114	491193	790181
115	498021	789965
116	505968	791385
117	509681	786118
118	517662	787369
119	525546	788320
120	533970	789923
121	542115	790956
122	551105	793054
123	560357	795345
124	570029	798041
125	579799	800675
126	589524	803052
127	599184	805153
128	608910	807159
129	618604	808944
130	628977	811429
131	638867	813103
132	648670	814495
133	658448	815690
134	668160	816640
135	679772	819726
136	691090	822246
137	702550	824733
138	718253	831933
139	729618	833849
140	741258	835886
141	752890	837723
142	768789	844056
143	780273	845296
144	789512	843961
145	797024	840696
146	811152	844261
147	826609	848949
148	840397	851678
149	851983	851983
150	854184	842870
151	860700	838050
152	862976	829134
153	867205	822156
154	871706	815466
155	873912	806688
156	880416	801907
157	882621	793242
158	884888	784712
159	891406	779981
160	893679	771562
161	899925	766602
162	902476	758523
163	904653	750200
164	911195	745523
165	914458	738177
166	922048	734326
167	925268	726996
168	932952	723176
169	939606	718522
170	943820	712004
171	951390	708011
172	954608	700782
173	962141	696723
174	965424	689589
175	973062	685566
176	976782	678781
177	984040	674454
178	991668	670345
179	1007089	671393
180	1028521	676210
181	1036797	672209
182	1047301	669586
183	1057156	666468
184	1066359	662872
185	1075101	658933
186	1083856	654950
187	1088785	648638
188	1094188	642618
189	1098469	635956
190	1103471	629729
191	1108482	623521
192	1113128	617122
193	1121493	612774
194	1129583	608237
195	1136757	603177
196	1148417	600441
197	1158397	596750
198	1166645	592116
199	1173815	586907
200	1180105	581245
201	1186232	575499
202	1192806	569961
203	1197863	563700
204	1202971	557474
205	1208048	551245
206	1213163	545044
207	1218210	538823
208	1223313	532638
209	1229953	527122
210	1249982	527243
211	1267562	526157
212	1280391	522976
213	1297620	521473
214	1310317	518032
215	1326216	515750
216	1340729	512813
217	1358071	510834
218	1378530	509867
219	1392290	506287
220	1410204	504100
221	1423622	500191
222	1440713	497466
223	1453572	493176
224	1471277	490425
225	1474210	482706
226	1481366	476386
227	1484270	468716
228	1491362	462387
229	1494244	454769
230	1501506	448501
231	1504325	440922
232	1511626	434673
233	1514432	427147
234	1521673	420888
235	1524520	413429
236	1531754	407175
237	1534690	399793
238	1541961	393555
239	1544830	386207
240	1553481	380312
241	1562083	374383
242	1566248	367391
243	1574653	361395
244	1583220	355416
245	1590765	349192
246	1595921	342444
247	1604505	336428
248	1613233	330421
249	1618984	323796
250	1626115	317448
251	1634718	311375
252	1643238	305265
253	1647576	298380
254	1656089	292251
255	1666229	286383
256	1676329	280475
257	1686303	274514
258	1696222	268514
259	1707422	262680
260	1719170	256887
261	1734719	251600
262	1744537	245429
263	1751653	238861
264	1757779	232159
265	1764501	225537
266	1772208	219037
267	1782533	212839
268	1791126	206412
269	1800460	200051
270	1817494	194492
271	1830157	188398
272	1847396	182709
273	1860269	176521
274	1877285	170662
275	1890161	164361
276	1905518	158219
277	1920044	151945
278	1932720	145473
279	1949778	139269
280	1962353	132685
281	1979467	126348
282	1992168	119670
283	2009288	113199
284	2022137	106428
285	2041920	99954
286	2061667	93385
287	2081279	86719
288	2094796	79732
289	2114572	72916
290	2134770	66023
291	2154508	59027
292	2174284	51945
293	2194084	44777
294	2213960	37524
295	2227608	30102
296	2247781	22704
297	2267625	15218
298	2287424	7650
299	2307436	0
