iter	Logloss
0	0.6394332441
1	0.5968979772
2	0.5644412486
3	0.5380561447
4	0.5165265846
5	0.4986016083
6	0.4851332092
7	0.4742234675
8	0.4654000854
9	0.4576215744
10	0.4521115812
11	0.4479020309
12	0.4434892146
13	0.4401619021
14	0.4372337023
15	0.4348854383
16	0.432414643
17	0.4308279069
18	0.4293715064
19	0.4278701687
20	0.4264903196
21	0.4256084983
22	0.4246898015
23	0.4237399356
24	0.4229860751
25	0.4220705605
26	0.421412948
27	0.4205620893
28	0.4198725796
29	0.4191886457
30	0.4185518964
31	0.4177767277
32	0.4171455765
33	0.4165442149
34	0.4159952259
35	0.4155989424
36	0.4152576669
37	0.414674832
38	0.414098285
39	0.4136647511
40	0.4133145714
41	0.412885383
42	0.4124765714
43	0.4118127124
44	0.4112845008
45	0.4110024516
46	0.4103594685
47	0.4098979791
48	0.4094445642
49	0.40902963
50	0.4087171396
51	0.4081976128
52	0.4079288483
53	0.4075774988
54	0.4071563657
55	0.4067924945
56	0.4064799182
57	0.4060903454
58	0.4057319736
59	0.405285759
60	0.4048656241
61	0.4044243558
62	0.4041229916
63	0.4036642965
64	0.4035415522
65	0.4030907059
66	0.4028975773
67	0.4026866754
68	0.402319657
69	0.4021786181
70	0.4018220552
71	0.4014946938
72	0.4012419033
73	0.4010377471
74	0.4004982758
75	0.3999854247
76	0.3997132587
77	0.3993769614
78	0.3992090384
79	0.3989043363
80	0.398712794
81	0.3986064625
82	0.3978805955
83	0.3976409245
84	0.3973417759
85	0.3970463085
86	0.3966527239
87	0.3964070288
88	0.3960416349
89	0.3958298937
90	0.3955483214
91	0.3952983634
92	0.3950752227
93	0.3947398758
94	0.39438241
95	0.3940268993
96	0.3937351259
97	0.3933488083
98	0.392905639
99	0.3926857948
