iter	Passed	Remaining
0	13	1350
1	26	1286
2	36	1195
3	48	1155
4	58	1120
5	71	1117
6	81	1086
7	93	1074
8	103	1050
9	115	1038
10	132	1068
11	155	1141
12	189	1264
13	211	1298
14	237	1345
15	254	1338
16	269	1318
17	292	1332
18	303	1294
19	327	1308
20	369	1388
21	396	1406
22	435	1459
23	482	1527
24	535	1605
25	559	1592
26	587	1588
27	613	1578
28	627	1537
29	641	1496
30	654	1457
31	669	1423
32	683	1387
33	702	1362
34	721	1340
35	737	1311
36	764	1301
37	778	1270
38	806	1262
39	821	1232
40	839	1207
41	851	1176
42	865	1147
43	884	1125
44	896	1095
45	908	1066
46	925	1043
47	936	1014
48	950	989
49	969	969
50	980	942
51	991	914
52	1005	891
53	1024	873
54	1035	847
55	1046	821
56	1059	799
57	1069	774
58	1080	751
59	1101	734
60	1115	712
61	1126	690
62	1136	667
63	1147	645
64	1163	626
65	1179	607
66	1190	586
67	1201	565
68	1212	544
69	1223	524
70	1245	508
71	1256	488
72	1266	468
73	1277	448
74	1295	431
75	1306	412
76	1316	393
77	1326	374
78	1337	355
79	1356	339
80	1381	324
81	1392	305
82	1405	287
83	1415	269
84	1426	251
85	1437	233
86	1448	216
87	1458	198
88	1470	181
89	1486	165
90	1498	148
91	1508	131
92	1518	114
93	1530	97
94	1539	81
95	1549	64
96	1566	48
97	1580	32
98	1590	16
99	1601	0
