,name,type,year,month,day
01/01/2013,New Year's Day,Regular Holiday,2013,1,1
24/01/2013,Maulid un-Nabi,Common local holiday,2013,1,24
10/02/2013,Lunar New Year's Day,Special Non-working Holiday,2013,2,10
25/02/2013,People Power Anniversary,Observance,2013,2,25
20/03/2013,March Equinox,Season,2013,3,20
28/03/2013,Maundy Thursday,Regular Holiday,2013,3,28
29/03/2013,Good Friday,Regular Holiday,2013,3,29
30/03/2013,Black Saturday,Observance,2013,3,30
31/03/2013,Easter Sunday,Observance,2013,3,31
09/04/2013,The Day of Valor,Regular Holiday,2013,4,9
01/05/2013,Labor Day,Regular Holiday,2013,5,1
06/06/2013,Lailatul Isra Wal Mi Raj,Common local holiday,2013,6,6
12/06/2013,Independence Day,Regular Holiday,2013,6,12
21/06/2013,June Solstice,Season,2013,6,21
08/08/2013,Eidul-Fitar,Regular Holiday,2013,8,8
21/08/2013,Ninoy Aquino Day,Special Non-working Holiday,2013,8,21
26/08/2013,National Heroes Day,Regular Holiday,2013,8,26
23/09/2013,September Equinox,Season,2013,9,23
15/10/2013,Eid al-Adha,Regular Holiday,2013,10,15
28/10/2013,Barangay Elections,Special Non-working Holiday,2013,10,28
01/11/2013,All Saints' Day,Special Non-working Holiday,2013,11,1
02/11/2013,All Souls' Day,Observance,2013,11,2
05/11/2013,Amun Jadid,"Muslim, Common local holiday",2013,11,5
30/11/2013,Bonifacio Day,Regular Holiday,2013,11,30
22/12/2013,December Solstice,Season,2013,12,22
24/12/2013,Christmas Eve,Observance,2013,12,24
25/12/2013,Christmas Day,Regular Holiday,2013,12,25
30/12/2013,Rizal Day,Regular Holiday,2013,12,30
31/12/2013,New Year's Eve,Special Non-working Holiday,2013,12,31
01/01/2014,New Year's Day,Regular Holiday,2014,1,1
14/01/2014,Maulid un-Nabi,Common local holiday,2014,1,14
31/01/2014,Lunar New Year's Day,Special Non-working Holiday,2014,1,31
25/02/2014,People Power Anniversary,Observance,2014,2,25
21/03/2014,March Equinox,Season,2014,3,21
09/04/2014,The Day of Valor,Regular Holiday,2014,4,9
17/04/2014,Maundy Thursday,Regular Holiday,2014,4,17
18/04/2014,Good Friday,Regular Holiday,2014,4,18
19/04/2014,Black Saturday,Special Non-working Holiday,2014,4,19
20/04/2014,Easter Sunday,Observance,2014,4,20
01/05/2014,Labor Day,Regular Holiday,2014,5,1
27/05/2014,Lailatul Isra Wal Mi Raj,Common local holiday,2014,5,27
12/06/2014,Independence Day,Regular Holiday,2014,6,12
21/06/2014,June Solstice,Season,2014,6,21
29/07/2014,Eidul-Fitar,Regular Holiday,2014,7,29
21/08/2014,Ninoy Aquino Day,Special Non-working Holiday,2014,8,21
25/08/2014,National Heroes Day,Regular Holiday,2014,8,25
23/09/2014,September Equinox,Season,2014,9,23
06/10/2014,Eid al-Adha,Regular Holiday,2014,10,6
25/10/2014,Amun Jadid,"Muslim, Common local holiday",2014,10,25
01/11/2014,All Saints' Day,Special Non-working Holiday,2014,11,1
02/11/2014,All Souls' Day,Observance,2014,11,2
30/11/2014,Bonifacio Day,Regular Holiday,2014,11,30
22/12/2014,December Solstice,Season,2014,12,22
24/12/2014,Christmas Eve,Special Non-working Holiday,2014,12,24
25/12/2014,Christmas Day,Regular Holiday,2014,12,25
26/12/2014,Special Day after Christmas,Special Non-working Holiday,2014,12,26
30/12/2014,Rizal Day,Regular Holiday,2014,12,30
31/12/2014,New Year's Eve,Special Non-working Holiday,2014,12,31
01/01/2015,New Year's Day,Regular Holiday,2015,1,1
02/01/2015,Day After New Year's Day,Regular Holiday,2015,1,2
03/01/2015,Maulid un-Nabi,Common local holiday,2015,1,3
15/01/2015,Pope's Visit (Public holiday in Manila),Observance,2015,1,15
16/01/2015,Pope's Visit (Public holiday in Manila),Observance,2015,1,16
17/01/2015,Pope's Visit (Public holiday in Manila),Observance,2015,1,17
