Date,Luzon_load
2013-01-01 00:00:00,4303
2013-01-01 01:00:00,3918
2013-01-01 02:00:00,3709
2013-01-01 03:00:00,3529
2013-01-01 04:00:00,3450
2013-01-01 05:00:00,3411
2013-01-01 06:00:00,3240
2013-01-01 07:00:00,3292
2013-01-01 08:00:00,3362
2013-01-01 09:00:00,3461
2013-01-01 10:00:00,3699
2013-01-01 11:00:00,3945
2013-01-01 12:00:00,3921
2013-01-01 13:00:00,3945
2013-01-01 14:00:00,3889
2013-01-01 15:00:00,3861
2013-01-01 16:00:00,3883
2013-01-01 17:00:00,4558
2013-01-01 18:00:00,4800
2013-01-01 19:00:00,4791
2013-01-01 20:00:00,4668
2013-01-01 21:00:00,4406
2013-01-01 22:00:00,4075
2013-01-01 23:00:00,3794
2013-01-02 00:00:00,3657
2013-01-02 01:00:00,3545
2013-01-02 02:00:00,3437
2013-01-02 03:00:00,3373
2013-01-02 04:00:00,3418
2013-01-02 05:00:00,3588
2013-01-02 06:00:00,3781
2013-01-02 07:00:00,4375
2013-01-02 08:00:00,5110
2013-01-02 09:00:00,5701
2013-01-02 10:00:00,6011
2013-01-02 11:00:00,5976
2013-01-02 12:00:00,5950
2013-01-02 13:00:00,6115
2013-01-02 14:00:00,6036
2013-01-02 15:00:00,5944
2013-01-02 16:00:00,5676
2013-01-02 17:00:00,6061
2013-01-02 18:00:00,6092
2013-01-02 19:00:00,5874
2013-01-02 20:00:00,5676
2013-01-02 21:00:00,5371
2013-01-02 22:00:00,4944
2013-01-02 23:00:00,4675
2013-01-03 00:00:00,4446
2013-01-03 01:00:00,4273
2013-01-03 02:00:00,4153
2013-01-03 03:00:00,4160
2013-01-03 04:00:00,4213
2013-01-03 05:00:00,4372
2013-01-03 06:00:00,4577
2013-01-03 07:00:00,5075
2013-01-03 08:00:00,5810
2013-01-03 09:00:00,6309
2013-01-03 10:00:00,6531
2013-01-03 11:00:00,6446
2013-01-03 12:00:00,6353
2013-01-03 13:00:00,6556
2013-01-03 14:00:00,6403
2013-01-03 15:00:00,6359
2013-01-03 16:00:00,6167
2013-01-03 17:00:00,6454
2013-01-03 18:00:00,6457
2013-01-03 19:00:00,6220
2013-01-03 20:00:00,6010
2013-01-03 21:00:00,5636
2013-01-03 22:00:00,5237
2013-01-03 23:00:00,4878
2013-01-04 00:00:00,4734
2013-01-04 01:00:00,4509
2013-01-04 02:00:00,4428
2013-01-04 03:00:00,4349
2013-01-04 04:00:00,4388
2013-01-04 05:00:00,4612
2013-01-04 06:00:00,4715
2013-01-04 07:00:00,5237
2013-01-04 08:00:00,5963
2013-01-04 09:00:00,6383
2013-01-04 10:00:00,6686
2013-01-04 11:00:00,6532
2013-01-04 12:00:00,6460
2013-01-04 13:00:00,6624
2013-01-04 14:00:00,6577
2013-01-04 15:00:00,6520
2013-01-04 16:00:00,6209
2013-01-04 17:00:00,6469
2013-01-04 18:00:00,6491
2013-01-04 19:00:00,6235
2013-01-04 20:00:00,6090
2013-01-04 21:00:00,5697
2013-01-04 22:00:00,5421
2013-01-04 23:00:00,5044
2013-01-05 00:00:00,4807
2013-01-05 01:00:00,4688
2013-01-05 02:00:00,4552
2013-01-05 03:00:00,4421
2013-01-05 04:00:00,4449
2013-01-05 05:00:00,4562
2013-01-05 06:00:00,4536
2013-01-05 07:00:00,4976
2013-01-05 08:00:00,5625
2013-01-05 09:00:00,6003
2013-01-05 10:00:00,6199
2013-01-05 11:00:00,6148
2013-01-05 12:00:00,6074
2013-01-05 13:00:00,6248
2013-01-05 14:00:00,6130
2013-01-05 15:00:00,6002
2013-01-05 16:00:00,5788
2013-01-05 17:00:00,6231
2013-01-05 18:00:00,6341
2013-01-05 19:00:00,6183
2013-01-05 20:00:00,6061
2013-01-05 21:00:00,5710
2013-01-05 22:00:00,5373
2013-01-05 23:00:00,5044
2013-01-06 00:00:00,4755
2013-01-06 01:00:00,4642
2013-01-06 02:00:00,4466
2013-01-06 03:00:00,4443
2013-01-06 04:00:00,4404
2013-01-06 05:00:00,4409
2013-01-06 06:00:00,4300
2013-01-06 07:00:00,4459
2013-01-06 08:00:00,4849
2013-01-06 09:00:00,5235
2013-01-06 10:00:00,5489
2013-01-06 11:00:00,5535
2013-01-06 12:00:00,5440
2013-01-06 13:00:00,5504
2013-01-06 14:00:00,5440
2013-01-06 15:00:00,5331
2013-01-06 16:00:00,5203
2013-01-06 17:00:00,5833
2013-01-06 18:00:00,6028
2013-01-06 19:00:00,6042
2013-01-06 20:00:00,5890
2013-01-06 21:00:00,5527
2013-01-06 22:00:00,5132
2013-01-06 23:00:00,4846
2013-01-07 00:00:00,4564
2013-01-07 01:00:00,4387
2013-01-07 02:00:00,4268
2013-01-07 03:00:00,4273
2013-01-07 04:00:00,4431
2013-01-07 05:00:00,4670
2013-01-07 06:00:00,4811
2013-01-07 07:00:00,5350
2013-01-07 08:00:00,6080
2013-01-07 09:00:00,6606
2013-01-07 10:00:00,6967
2013-01-07 11:00:00,6800
2013-01-07 12:00:00,6776
2013-01-07 13:00:00,6913
2013-01-07 14:00:00,6866
2013-01-07 15:00:00,6811
2013-01-07 16:00:00,6510
2013-01-07 17:00:00,6734
2013-01-07 18:00:00,6850
2013-01-07 19:00:00,6647
2013-01-07 20:00:00,6374
2013-01-07 21:00:00,6000
2013-01-07 22:00:00,5547
2013-01-07 23:00:00,5166
