Date,Luzon,Visayas,Mindanao
01/01/2008,5972,1067,1158
01/02/2008,6094,1069,1158
01/03/2008,6211,1079,1190
01/04/2008,6663,1112,1186
01/05/2008,6485,1095,1171
01/06/2008,6674,1089,1188
01/07/2008,6559,1100,1163
01/08/2008,6403,1126,1137
01/09/2008,6495,1128,1163
01/10/2008,6627,1157,1162
01/11/2008,6492,1176,1204
01/12/2008,6376,1165,1175
01/01/2009,6118,1120,1143
01/02/2009,6452,1160,1163
01/03/2009,6642,1166,1183
01/04/2009,6845,1193,1186
01/05/2009,6829,1204,1220
01/06/2009,6928,1204,1196
01/07/2009,6848,1201,1210
01/08/2009,6863,1205,1208
01/09/2009,6873,1214,1217
01/10/2009,6530,1215,1292
01/11/2009,6662,1241,1303
01/12/2009,6575,1231,1282
01/01/2010,6407,1219,1240
01/02/2010,6878,1199,1180
01/03/2010,7057,1254,1026
01/04/2010,7305,1306,1009
01/05/2010,7656,1364,1211
01/06/2010,7646,1344,1238
01/07/2010,7240,1323,1214
01/08/2010,7009,1300,1221
01/09/2010,7057,1341,1235
01/10/2010,7074,1340,1263
01/11/2010,6851,1402,1286
01/12/2010,6946,1431,1288
01/01/2011,6594,1331,1250
01/02/2011,6877,1356,1231
01/03/2011,7006,1370,1219
01/04/2011,7056,1355,1253
01/05/2011,7538,1431,1253
01/06/2011,7552,1384,1264
01/07/2011,7438,1399,1298
01/08/2011,7200,1404,1290
01/09/2011,7107,1415,1288
01/10/2011,7255,1411,1290
01/11/2011,7223,1451,1326
01/12/2011,7178,1481,1346
01/01/2012,7027,1391,1270
01/02/2012,7162,1382,1191
01/03/2012,7503,1419,1244
01/04/2012,7885,1447,1232
01/05/2012,7889,1464,1301
01/06/2012,7709,1449,1309
01/07/2012,7574,1440,1289
01/08/2012,7242,1480,1306
01/09/2012,7293,1434,1268
01/10/2012,7421,1489,1319
01/11/2012,7425,1502,1321
01/12/2012,7395,1551,1318
01/01/2013,7079,1463,1284
01/02/2013,7214,1446,1244
01/03/2013,7720,1528,1245
01/04/2013,8178,1548,1226
01/05/2013,8305,1572,1366
01/06/2013,8208,1555,1364
01/07/2013,8030,1543,1384
01/08/2013,7755,1512,1326
01/09/2013,7966,1547,1256
01/10/2013,7564,1520,1219
01/11/2013,7488,1518,1397
01/12/2013,7670,1350,1428
01/01/2014,7121,1331,1354
01/02/2014,7545,1362,1351
01/03/2014,7655,1411,1344
01/04/2014,8267,1499,1310
01/05/2014,8717,1606,1339
01/06/2014,8607,1636,1416
01/07/2014,8265,1511,1390
01/08/2014,8230,1579,1386
01/09/2014,8005,1528,1391
01/10/2014,7993,1517,1441
01/11/2014,8033,1610,1469
01/12/2014,7996,1526,1453
01/01/2015,7315,1476,1386
01/02/2015,7610,1479,1380
01/03/2015,7878,1528,1370
01/04/2015,8727,1630,1406
01/05/2015,8928,1618,1438
01/06/2015,8881,1562,1435
01/07/2015,8826,1584,1397
01/08/2015,8889,1596,1446
01/09/2015,8738,1625,1453
01/10/2015,8624,1705,1507
01/11/2015,8498,1768,1518
01/12/2015,8487,1727,1510
01/01/2016,8175,1693,1497
01/02/2016,8229,1669,1472
01/03/2016,8806,1749,1485
01/04/2016,9586,1846,1514
01/05/2016,9726,1893,1590
01/06/2016,9507,1831,1585
01/07/2016,9339,1819,1536
01/08/2016,9379,1825,1582
01/09/2016,9082,1817,1592
01/10/2016,9005,1823,1645
01/11/2016,8900,1838,1642
01/12/2016,8774,1859,1653
01/01/2017,8249,1804,1589
01/02/2017,8668,1747,1613
01/03/2017,9459,1829,1633
01/04/2017,9831,1914,1697
01/05/2017,10054,1933,1692
01/06/2017,10000,1935,1675
01/07/2017,9588,1869,1624
01/08/2017,9957,1965,1705
01/09/2017,9806,1936,1708
01/10/2017,9483,1953,1699
01/11/2017,9590,1975,1726
01/12/2017,9441,1957,1760
01/01/2018,9213,1892,1665
01/02/2018,9579,1913,1704
01/03/2018,9936,1956,1729
01/04/2018,10539,2044,1781
01/05/2018,10750,2053,1847
01/06/2018,10876,2010,1741
01/07/2018,9996,1972,1762
01/08/2018,9843,2015,1821
01/09/2018,10035,1954,1794
01/10/2018,10346,2026,1835
01/11/2018,10088,1980,1833
01/12/2018,9987,2020,1853
01/01/2019,9123,1873,1775
01/02/2019,9309,1919,1726
01/03/2019,10180,2010,1817
01/04/2019,10957,2116,1892
01/05/2019,11245,2224,2013
01/06/2019,11344,2220,2001
01/07/2019,10997,2129,1943
01/08/2019,10687,2148,1977
01/09/2019,10392,2164,1960
01/10/2019,10845,2224,1987
01/11/2019,10413,2168,1995
01/12/2019,10111,2151,1992
01/01/2020,9713,2066,1960
01/02/2020,9889,2201,1978
01/03/2020,11103,2140,1953
01/04/2020,8377,1789,1673
01/05/2020,9639,1966,1798
01/06/2020,10642,2044,1907
01/07/2020,10595,1956,1867
01/08/2020,10422,2080,1911
01/09/2020,10570,2098,1944
01/10/2020,10344,2032,1896
01/11/2020,9886,2043,1961
01/12/2020,9634,2027,1931
01/01/2021,9162,1927,1883
01/02/2021,9574,1945,1914
01/03/2021,10543,2145,2017
01/04/2021,10425,2124,2049
01/05/2021,11556,2159,2106
01/06/2021,11640,2164,2059
01/07/2021,11073,2120,2028
01/08/2021,10270,2137,2144
01/09/2021,10752,2089,2032
01/10/2021,10811,2143,2088
01/11/2021,10572,2173,2128
01/12/2021,10009,2252,2041
