date,name,type,date
2013-01-01,New Year's Day,Regular Holiday,2013-01-01
2013-01-24,Maulid un-Nabi,Common local holiday,2013-01-24
2013-02-10,Lunar New Year's Day,Special Non-working Holiday,2013-02-10
2013-02-25,People Power Anniversary,Observance,2013-02-25
2013-03-20,March Equinox,Season,2013-03-20
2013-03-28,Maundy Thursday,Regular Holiday,2013-03-28
2013-03-29,Good Friday,Regular Holiday,2013-03-29
2013-03-30,Black Saturday,Observance,2013-03-30
2013-03-31,Easter Sunday,Observance,2013-03-31
2013-04-09,The Day of Valor,Regular Holiday,2013-04-09
2013-05-01,Labor Day,Regular Holiday,2013-05-01
2013-06-06,Lailatul Isra Wal Mi Raj,Common local holiday,2013-06-06
2013-06-12,Independence Day,Regular Holiday,2013-06-12
2013-06-21,June Solstice,Season,2013-06-21
2013-08-08,Eidul-Fitar,Regular Holiday,2013-08-08
2013-08-21,Ninoy Aquino Day,Special Non-working Holiday,2013-08-21
2013-08-26,National Heroes Day,Regular Holiday,2013-08-26
2013-09-23,September Equinox,Season,2013-09-23
2013-10-15,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2013-10-15
2013-10-28,Barangay Elections,Special Non-working Holiday,2013-10-28
2013-11-01,All Saints' Day,Special Non-working Holiday,2013-11-01
2013-11-02,All Souls' Day,Observance,2013-11-02
2013-11-05,Amun Jadid,"Muslim, Common local holiday",2013-11-05
2013-11-30,Bonifacio Day,Regular Holiday,2013-11-30
2013-12-22,December Solstice,Season,2013-12-22
2013-12-24,Christmas Eve,Observance,2013-12-24
2013-12-25,Christmas Day,Regular Holiday,2013-12-25
2013-12-30,Rizal Day,Regular Holiday,2013-12-30
2013-12-31,New Year's Eve,Special Non-working Holiday,2013-12-31
2014-01-01,New Year's Day,Regular Holiday,2014-01-01
2014-01-14,Maulid un-Nabi,Common local holiday,2014-01-14
2014-01-31,Lunar New Year's Day,Special Non-working Holiday,2014-01-31
2014-02-25,People Power Anniversary,Observance,2014-02-25
2014-03-21,March Equinox,Season,2014-03-21
2014-04-09,The Day of Valor,Regular Holiday,2014-04-09
2014-04-17,Maundy Thursday,Regular Holiday,2014-04-17
2014-04-18,Good Friday,Regular Holiday,2014-04-18
2014-04-19,Black Saturday,Special Non-working Holiday,2014-04-19
2014-04-20,Easter Sunday,Observance,2014-04-20
2014-05-01,Labor Day,Regular Holiday,2014-05-01
2014-05-27,Lailatul Isra Wal Mi Raj,Common local holiday,2014-05-27
2014-06-12,Independence Day,Regular Holiday,2014-06-12
2014-06-21,June Solstice,Season,2014-06-21
2014-07-29,Eidul-Fitar,Regular Holiday,2014-07-29
2014-08-21,Ninoy Aquino Day,Special Non-working Holiday,2014-08-21
2014-08-25,National Heroes Day,Regular Holiday,2014-08-25
2014-09-23,September Equinox,Season,2014-09-23
2014-10-06,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2014-10-06
2014-10-25,Amun Jadid,"Muslim, Common local holiday",2014-10-25
2014-11-01,All Saints' Day,Special Non-working Holiday,2014-11-01
2014-11-02,All Souls' Day,Observance,2014-11-02
2014-11-30,Bonifacio Day,Regular Holiday,2014-11-30
