date,year,name,type
1 Ene,2013,New Year's Day,Regular Holiday
24 Ene,2013,Maulid un-Nabi,Common local holiday
10 Peb,2013,Lunar New Year's Day,Special Non-working Holiday
25 Peb,2013,People Power Anniversary,Observance
20 Mar,2013,March Equinox,Season
28 Mar,2013,Maundy Thursday,Regular Holiday
29 Mar,2013,Good Friday,Regular Holiday
30 Mar,2013,Black Saturday,Observance
31 Mar,2013,Easter Sunday,Observance
9 Abr,2013,The Day of Valor,Regular Holiday
1 May,2013,Labor Day,Regular Holiday
6 Hun,2013,Lailatul Isra Wal Mi Raj,Common local holiday
12 Hun,2013,Independence Day,Regular Holiday
21 Hun,2013,June Solstice,Season
8 Ago,2013,Eidul-Fitar,Regular Holiday
21 Ago,2013,Ninoy Aquino Day,Special Non-working Holiday
26 Ago,2013,National Heroes Day,Regular Holiday
23 Set,2013,September Equinox,Season
15 Okt,2013,Eid al-Adha (Feast of the Sacrifice),Regular Holiday
28 Okt,2013,Barangay Elections,Special Non-working Holiday
1 Nob,2013,All Saints' Day,Special Non-working Holiday
2 Nob,2013,All Souls' Day,Observance
5 Nob,2013,Amun Jadid,"Muslim, Common local holiday"
30 Nob,2013,Bonifacio Day,Regular Holiday
22 Dis,2013,December Solstice,Season
24 Dis,2013,Christmas Eve,Observance
25 Dis,2013,Christmas Day,Regular Holiday
30 Dis,2013,Rizal Day,Regular Holiday
31 Dis,2013,New Year's Eve,Special Non-working Holiday
1 Ene,2014,New Year's Day,Regular Holiday
14 Ene,2014,Maulid un-Nabi,Common local holiday
31 Ene,2014,Lunar New Year's Day,Special Non-working Holiday
25 Peb,2014,People Power Anniversary,Observance
21 Mar,2014,March Equinox,Season
9 Abr,2014,The Day of Valor,Regular Holiday
17 Abr,2014,Maundy Thursday,Regular Holiday
18 Abr,2014,Good Friday,Regular Holiday
19 Abr,2014,Black Saturday,Special Non-working Holiday
20 Abr,2014,Easter Sunday,Observance
1 May,2014,Labor Day,Regular Holiday
27 May,2014,Lailatul Isra Wal Mi Raj,Common local holiday
12 Hun,2014,Independence Day,Regular Holiday
21 Hun,2014,June Solstice,Season
29 Hul,2014,Eidul-Fitar,Regular Holiday
21 Ago,2014,Ninoy Aquino Day,Special Non-working Holiday
25 Ago,2014,National Heroes Day,Regular Holiday
23 Set,2014,September Equinox,Season
6 Okt,2014,Eid al-Adha (Feast of the Sacrifice),Regular Holiday
25 Okt,2014,Amun Jadid,"Muslim, Common local holiday"
