,name,type,date
0,New Year's Day,Regular Holiday,01/01/2013
1,Maulid un-Nabi,Common local holiday,24/01/2013
2,Lunar New Year's Day,Special Non-working Holiday,10/02/2013
3,People Power Anniversary,Observance,25/02/2013
4,March Equinox,Season,20/03/2013
5,Maundy Thursday,Regular Holiday,28/03/2013
6,Good Friday,Regular Holiday,29/03/2013
7,Black Saturday,Observance,30/03/2013
8,Easter Sunday,Observance,31/03/2013
9,The Day of Valor,Regular Holiday,09/04/2013
10,Labor Day,Regular Holiday,01/05/2013
11,Lailatul Isra Wal Mi Raj,Common local holiday,06/06/2013
12,Independence Day,Regular Holiday,12/06/2013
13,June Solstice,Season,21/06/2013
14,Eidul-Fitar,Regular Holiday,08/08/2013
15,Ninoy Aquino Day,Special Non-working Holiday,21/08/2013
16,National Heroes Day,Regular Holiday,26/08/2013
17,September Equinox,Season,23/09/2013
18,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,15/10/2013
19,Barangay Elections,Special Non-working Holiday,28/10/2013
20,All Saints' Day,Special Non-working Holiday,01/11/2013
21,All Souls' Day,Observance,02/11/2013
22,Amun Jadid,"Muslim, Common local holiday",05/11/2013
23,Bonifacio Day,Regular Holiday,30/11/2013
24,December Solstice,Season,22/12/2013
25,Christmas Eve,Observance,24/12/2013
26,Christmas Day,Regular Holiday,25/12/2013
27,Rizal Day,Regular Holiday,30/12/2013
28,New Year's Eve,Special Non-working Holiday,31/12/2013
29,New Year's Day,Regular Holiday,01/01/2014
30,Maulid un-Nabi,Common local holiday,14/01/2014
31,Lunar New Year's Day,Special Non-working Holiday,31/01/2014
32,People Power Anniversary,Observance,25/02/2014
33,March Equinox,Season,21/03/2014
34,The Day of Valor,Regular Holiday,09/04/2014
35,Maundy Thursday,Regular Holiday,17/04/2014
36,Good Friday,Regular Holiday,18/04/2014
37,Black Saturday,Special Non-working Holiday,19/04/2014
38,Easter Sunday,Observance,20/04/2014
39,Labor Day,Regular Holiday,01/05/2014
40,Lailatul Isra Wal Mi Raj,Common local holiday,27/05/2014
41,Independence Day,Regular Holiday,12/06/2014
42,June Solstice,Season,21/06/2014
43,Eidul-Fitar,Regular Holiday,29/07/2014
44,Ninoy Aquino Day,Special Non-working Holiday,21/08/2014
45,National Heroes Day,Regular Holiday,25/08/2014
46,September Equinox,Season,23/09/2014
47,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,06/10/2014
48,Amun Jadid,"Muslim, Common local holiday",25/10/2014
49,All Saints' Day,Special Non-working Holiday,01/11/2014
50,All Souls' Day,Observance,02/11/2014
51,Bonifacio Day,Regular Holiday,30/11/2014
52,December Solstice,Season,22/12/2014
53,Christmas Eve,Special Non-working Holiday,24/12/2014
54,Christmas Day,Regular Holiday,25/12/2014
55,Special Day after Christmas,Special Non-working Holiday,26/12/2014
56,Rizal Day,Regular Holiday,30/12/2014
57,New Year's Eve,Special Non-working Holiday,31/12/2014
58,New Year's Day,Regular Holiday,01/01/2015
59,Day After New Year's Day,Regular Holiday,02/01/2015
60,Special non-working day after New Year,Special Non-working Holiday,02/01/2015
61,Maulid un-Nabi,Common local holiday,03/01/2015
62,Pope's Visit (Public holiday in Manila),Observance,15/01/2015
63,Pope's Visit (Public holiday in Manila),Observance,16/01/2015
64,Pope's Visit (Public holiday in Manila),Observance,17/01/2015
65,Pope's Visit (Public holiday in Manila),Observance,18/01/2015
66,Pope's Visit (Public holiday in Manila),Observance,19/01/2015
67,Lunar New Year's Day,Special Non-working Holiday,19/02/2015
68,People Power Anniversary,Observance,25/02/2015
69,March Equinox,Season,21/03/2015
70,Maundy Thursday,Regular Holiday,02/04/2015
71,Good Friday,Regular Holiday,03/04/2015
72,Black Saturday,Special Non-working Holiday,04/04/2015
73,Easter Sunday,Observance,05/04/2015
74,The Day of Valor,Regular Holiday,09/04/2015
75,Labor Day,Regular Holiday,01/05/2015
76,Lailatul Isra Wal Mi Raj,Common local holiday,16/05/2015
77,Independence Day,Regular Holiday,12/06/2015
78,June Solstice,Season,22/06/2015
79,Eidul-Fitar,Regular Holiday,17/07/2015
80,Ninoy Aquino Day,Special Non-working Holiday,21/08/2015
81,National Heroes Day,Regular Holiday,31/08/2015
82,September Equinox,Season,23/09/2015
83,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,25/09/2015
84,Amun Jadid,"Muslim, Common local holiday",15/10/2015
85,All Saints' Day,Special Non-working Holiday,01/11/2015
86,All Souls' Day,Observance,02/11/2015
87,APEC Summit Extra Holiday,Observance,17/11/2015
88,APEC Summit Extra Holiday,Special Non-working Holiday,18/11/2015
89,APEC Summit Extra Holiday,Observance,20/11/2015
90,APEC Summit Extra Holiday,Special Non-working Holiday,20/11/2015
91,Bonifacio Day,Regular Holiday,30/11/2015
92,December Solstice,Season,22/12/2015
93,Christmas Eve,Special Non-working Holiday,24/12/2015
94,Maulid un-Nabi,Common local holiday,24/12/2015
95,Christmas Day,Regular Holiday,25/12/2015
96,Rizal Day,Regular Holiday,30/12/2015
97,New Year's Eve,Special Non-working Holiday,31/12/2015
98,New Year's Day,Regular Holiday,01/01/2016
99,Special non-working day after New Year,Special Non-working Holiday,02/01/2016
100,Lunar New Year's Day,Special Non-working Holiday,08/02/2016
101,People Power Anniversary,Special Non-working Holiday,25/02/2016
102,March Equinox,Season,20/03/2016
103,Maundy Thursday,Regular Holiday,24/03/2016
104,Good Friday,Regular Holiday,25/03/2016
105,Black Saturday,Special Non-working Holiday,26/03/2016
106,Easter Sunday,Observance,27/03/2016
107,The Day of Valor,Regular Holiday,09/04/2016
108,Labor Day,Regular Holiday,01/05/2016
109,Lailatul Isra Wal Mi Raj,Common local holiday,05/05/2016
110,National Elections,Special Non-working Holiday,09/05/2016
111,Independence Day,Regular Holiday,12/06/2016
112,June Solstice,Season,21/06/2016
113,Eidul-Fitar,Regular Holiday,07/07/2016
114,Ninoy Aquino Day,Special Non-working Holiday,21/08/2016
115,National Heroes Day,Regular Holiday,29/08/2016
116,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,10/09/2016
117,Eid al-Adha Day 2,Common local holiday,11/09/2016
118,Eid al-Adha Day 3,National holiday,12/09/2016
119,September Equinox,Season,22/09/2016
120,Amun Jadid,"Muslim, Common local holiday",03/10/2016
121,Special non-working Day,National holiday,31/10/2016
122,All Saints' Day,Special Non-working Holiday,01/11/2016
123,All Souls' Day,Observance,02/11/2016
124,Bonifacio Day,Regular Holiday,30/11/2016
125,Maulid un-Nabi,Common local holiday,12/12/2016
126,December Solstice,Season,21/12/2016
127,Christmas Eve,Special Non-working Holiday,24/12/2016
128,Christmas Day,Regular Holiday,25/12/2016
129,Christmas Day observed,Regular Holiday,26/12/2016
130,Rizal Day,Regular Holiday,30/12/2016
131,New Year's Eve,Special Non-working Holiday,31/12/2016
132,New Year's Day,Regular Holiday,01/01/2017
133,New Year's Day observed,Regular Holiday,02/01/2017
134,Lunar New Year's Day,Special Non-working Holiday,28/01/2017
135,People Power Anniversary,Observance,25/02/2017
136,March Equinox,Season,20/03/2017
137,The Day of Valor,Regular Holiday,09/04/2017
138,Maundy Thursday,Regular Holiday,13/04/2017
139,Good Friday,Regular Holiday,14/04/2017
140,Black Saturday,Special Non-working Holiday,15/04/2017
141,Easter Sunday,Observance,16/04/2017
142,Lailatul Isra Wal Mi Raj,Common local holiday,24/04/2017
143,Labor Day,Regular Holiday,01/05/2017
144,Independence Day,Regular Holiday,12/06/2017
145,June Solstice,Season,21/06/2017
146,Eidul-Fitar,Regular Holiday,26/06/2017
147,Ninoy Aquino Day,Special Non-working Holiday,21/08/2017
148,National Heroes Day,Regular Holiday,28/08/2017
149,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,02/09/2017
150,Eid al-Adha Day 2,Common local holiday,03/09/2017
151,Amun Jadid,"Muslim, Common local holiday",22/09/2017
