,name,type,date
0,New Year's Day,Regular Holiday,2013-01-01
1,Maulid un-Nabi,Common local holiday,2013-01-24
2,Lunar New Year's Day,Special Non-working Holiday,2013-02-10
3,People Power Anniversary,Observance,2013-02-25
4,March Equinox,Season,2013-03-20
5,Maundy Thursday,Regular Holiday,2013-03-28
6,Good Friday,Regular Holiday,2013-03-29
7,Black Saturday,Observance,2013-03-30
8,Easter Sunday,Observance,2013-03-31
9,The Day of Valor,Regular Holiday,2013-04-09
10,Labor Day,Regular Holiday,2013-05-01
11,Lailatul Isra Wal Mi Raj,Common local holiday,2013-06-06
12,Independence Day,Regular Holiday,2013-06-12
13,June Solstice,Season,2013-06-21
14,Eidul-Fitar,Regular Holiday,2013-08-08
15,Ninoy Aquino Day,Special Non-working Holiday,2013-08-21
16,National Heroes Day,Regular Holiday,2013-08-26
17,September Equinox,Season,2013-09-23
18,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2013-10-15
19,Barangay Elections,Special Non-working Holiday,2013-10-28
20,All Saints' Day,Special Non-working Holiday,2013-11-01
21,All Souls' Day,Observance,2013-11-02
22,Amun Jadid,"Muslim, Common local holiday",2013-11-05
23,Bonifacio Day,Regular Holiday,2013-11-30
24,December Solstice,Season,2013-12-22
25,Christmas Eve,Observance,2013-12-24
26,Christmas Day,Regular Holiday,2013-12-25
27,Rizal Day,Regular Holiday,2013-12-30
28,New Year's Eve,Special Non-working Holiday,2013-12-31
29,New Year's Day,Regular Holiday,2014-01-01
30,Maulid un-Nabi,Common local holiday,2014-01-14
31,Lunar New Year's Day,Special Non-working Holiday,2014-01-31
32,People Power Anniversary,Observance,2014-02-25
33,March Equinox,Season,2014-03-21
34,The Day of Valor,Regular Holiday,2014-04-09
35,Maundy Thursday,Regular Holiday,2014-04-17
36,Good Friday,Regular Holiday,2014-04-18
37,Black Saturday,Special Non-working Holiday,2014-04-19
38,Easter Sunday,Observance,2014-04-20
39,Labor Day,Regular Holiday,2014-05-01
40,Lailatul Isra Wal Mi Raj,Common local holiday,2014-05-27
41,Independence Day,Regular Holiday,2014-06-12
42,June Solstice,Season,2014-06-21
43,Eidul-Fitar,Regular Holiday,2014-07-29
44,Ninoy Aquino Day,Special Non-working Holiday,2014-08-21
45,National Heroes Day,Regular Holiday,2014-08-25
46,September Equinox,Season,2014-09-23
47,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2014-10-06
48,Amun Jadid,"Muslim, Common local holiday",2014-10-25
49,All Saints' Day,Special Non-working Holiday,2014-11-01
50,All Souls' Day,Observance,2014-11-02
51,Bonifacio Day,Regular Holiday,2014-11-30
52,December Solstice,Season,2014-12-22
53,Christmas Eve,Special Non-working Holiday,2014-12-24
54,Christmas Day,Regular Holiday,2014-12-25
55,Special Day after Christmas,Special Non-working Holiday,2014-12-26
56,Rizal Day,Regular Holiday,2014-12-30
57,New Year's Eve,Special Non-working Holiday,2014-12-31
58,New Year's Day,Regular Holiday,2015-01-01
59,Day After New Year's Day,Regular Holiday,2015-01-02
60,Special non-working day after New Year,Special Non-working Holiday,2015-01-02
61,Maulid un-Nabi,Common local holiday,2015-01-03
62,Pope's Visit (Public holiday in Manila),Observance,2015-01-15
63,Pope's Visit (Public holiday in Manila),Observance,2015-01-16
64,Pope's Visit (Public holiday in Manila),Observance,2015-01-17
65,Pope's Visit (Public holiday in Manila),Observance,2015-01-18
66,Pope's Visit (Public holiday in Manila),Observance,2015-01-19
67,Lunar New Year's Day,Special Non-working Holiday,2015-02-19
68,People Power Anniversary,Observance,2015-02-25
69,March Equinox,Season,2015-03-21
70,Maundy Thursday,Regular Holiday,2015-04-02
71,Good Friday,Regular Holiday,2015-04-03
72,Black Saturday,Special Non-working Holiday,2015-04-04
73,Easter Sunday,Observance,2015-04-05
74,The Day of Valor,Regular Holiday,2015-04-09
75,Labor Day,Regular Holiday,2015-05-01
76,Lailatul Isra Wal Mi Raj,Common local holiday,2015-05-16
77,Independence Day,Regular Holiday,2015-06-12
78,June Solstice,Season,2015-06-22
79,Eidul-Fitar,Regular Holiday,2015-07-17
80,Ninoy Aquino Day,Special Non-working Holiday,2015-08-21
81,National Heroes Day,Regular Holiday,2015-08-31
82,September Equinox,Season,2015-09-23
83,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2015-09-25
84,Amun Jadid,"Muslim, Common local holiday",2015-10-15
85,All Saints' Day,Special Non-working Holiday,2015-11-01
86,All Souls' Day,Observance,2015-11-02
87,APEC Summit Extra Holiday,Observance,2015-11-17
88,APEC Summit Extra Holiday,Special Non-working Holiday,2015-11-18
89,APEC Summit Extra Holiday,Observance,2015-11-20
90,APEC Summit Extra Holiday,Special Non-working Holiday,2015-11-20
91,Bonifacio Day,Regular Holiday,2015-11-30
92,December Solstice,Season,2015-12-22
93,Christmas Eve,Special Non-working Holiday,2015-12-24
94,Maulid un-Nabi,Common local holiday,2015-12-24
95,Christmas Day,Regular Holiday,2015-12-25
96,Rizal Day,Regular Holiday,2015-12-30
97,New Year's Eve,Special Non-working Holiday,2015-12-31
98,New Year's Day,Regular Holiday,2016-01-01
99,Special non-working day after New Year,Special Non-working Holiday,2016-01-02
100,Lunar New Year's Day,Special Non-working Holiday,2016-02-08
101,People Power Anniversary,Special Non-working Holiday,2016-02-25
102,March Equinox,Season,2016-03-20
103,Maundy Thursday,Regular Holiday,2016-03-24
104,Good Friday,Regular Holiday,2016-03-25
